SumofStandardScores,StandScore,90ConfInt,PercentileRank
312-320,160,151-164,>99.9
310-311,159,150-164,>99.9
308-309,158,149-163,>99.9
306-307,157,148-162,>99.9
303-304,156,147-161,>99.9
301-302,155,146-160,>99.9
299-300,154,145-159,>99.9
297-298,153,144-158,>99.9
295-296,152,143-157,>99.9
293-294,151,142-156,>99.9
291-292,150,141-155,>99.9
288-290,149,140-154,99.9
286-287,148,139-153,99.9
284-285,147,138-152,99.9
282-283,146,137-151,99.9
280-281,145,136-150,99.9
278-279,144,135-149,99.9
276-277,143,134-148,99.8
274-275,142,134-147,99.7
272-273,141,133-146,99.7
270-271,140,132-145,99.6
269,139,131-144,99.5
267-268,138,130-143,99
265-266,137,129-142,99
263-264,136,128-141,99
261-262,135,127-140,99
259-260,134,126-140,99
257-258,133,125-139,99
255-256,132,124-138,98
253-254,131,123-137,98
252,130,122-136,98
250-251,129,121-135,97
248-249,128,120-134,97
246-247,127,119-133,96
244-245,126,118-132,96
242-243,125,117-131,95
241,124,116-130,95
239-240,123,115-129,94
237-238,122,114-128,93
235-236,121,113-127,92
234,120,112-126,91
232-233,119,111-125,90
230-231,118,110-124,88
228-229,117,109-123,87
226-227,116,109-122,86
225,115,108-121,84
223-224,114,107-120,82
221-222,113,106-119,81
220,112,105-118,79
218-219,111,104-117,77
216-217,110,103-116,75
214-215,109,102-115,73
213,108,101-115,70
211-212,107,100-114,68
209-210,106,99-113,66
208,105,98-112,63
206-207,104,97-111,61
204-205,103,96-110,58
202-203,102,95-109,55
201,101,94-108,53
199-200,100,93-107,50
197-198,99,92-106,47
196,98,91-105,45
194-195,97,90-104,42
192-193,96,89-103,39
191,95,88-102,37
189-190,94,87-101,34
187-188,93,86-100,32
186,92,85-99,30
184-185,91,85-98,27
182-183,90,84-97,25
180-181,89,83-96,23
179,88,82-95,21
177-178,87,81-94,19
175-176,86,80-93,18
174,85,79-92,16
172-173,84,78-91,14
170-171,83,77-91,13
169,82,76-90,12
167-168,81,75-89,10
165-166,80,74-88,9
163-164,79,73-87,8
162,78,72-86,7
160-161,77,71-85,6
158-159,76,70-84,5
156-157,75,69-83,5
155,74,68-82,4
153-154,73,67-81,4
151-152,72,66-80,3
149-150,71,65-79,3
148,70,64-78,2
146-147,69,63-77,2
144-145,68,62-76,2
142-143,67,61-75,1
140-141,66,60-74,1
139,65,60-73,1
137-138,64,59-72,1
135-136,63,58-71,1
133-134,62,57-70,1
131-132,61,56-69,0.5
129-130,60,55-68,0.4
128,59,54-67,0.3
126-127,58,53-66,0.3
124-125,57,52-66,0.2
122-123,56,51-65,0.2
120-121,55,50-64,0.1
118-119,54,49-63,0.1
116-117,53,48-62,0.1
114-115,52,47-61,0.1
112-113,51,46-60,<0.1
110-111,50,45-59,<0.1
108-109,49,44-58,<0.1
106-107,48,43-57,<0.1
104-105,47,42-56,<0.1
102-103,46,41-55,<0.1
100-101,45,40-54,<0.1
98-99,44,39-53,<0.1
96-97,43,38-52,<0.1
94-95,42,37-51,<0.1
92-93,41,36-50,<0.1
90-91,40,36-49,<0.1
